author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292659319/;Екатеринбург;sale;flat;6;16;2;47.6;3950000;1981;26.0;-1;+79122631024;Железнодорожный;Автомагистральная;;
Железно;https://ekb.cian.ru/sale/flat/291183921/;Екатеринбург;sale;flat;2;8;2;53.0;5815008;2025;26.0;9.0;+73432260872;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292751890/;Екатеринбург;sale;flat;5;10;1;34.4;4770000;1995;19.0;-1;+79122631024;Автовокзал;Сурикова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/279923376/;Екатеринбург;sale;flat;4;19;3;71.7;8237000;2025;40.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/292715659/;Екатеринбург;sale;flat;7;25;2;52.0;5300000;2015;29.0;7.0;+79122515743;Ленинский;Чкалова;;
Брусника;https://ekb.cian.ru/sale/flat/291269756/;Екатеринбург;sale;flat;9;9;1;32.18;4750000;2024;7.0;12.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
РиэлПроф;https://ekb.cian.ru/sale/flat/285327966/;Екатеринбург;sale;flat;6;18;1;42.0;3990000;2013;21.0;12.0;+79126920013;;;;
Брусника;https://ekb.cian.ru/sale/flat/291224789/;Екатеринбург;sale;flat;7;9;3;84.2;10960000;2024;32.0;20.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292631412/;Екатеринбург;sale;flat;16;16;2;47.0;5000000;1991;24.0;-1;+79122631024;Верх-Исетский;Металлургов;;
Брусника;https://ekb.cian.ru/sale/flat/282892373/;Екатеринбург;sale;flat;9;17;3;77.0;7900000;2024;32.0;20.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
ID 70812431;https://ekb.cian.ru/sale/flat/293282109/;Екатеринбург;sale;flat;4;9;3;58.2;6200000;1982;37.0;8.0;+79826874225;Октябрьский;Латвийская;;
Брусника;https://ekb.cian.ru/sale/flat/293532921/;Екатеринбург;sale;flat;2;17;-1;202.0;4800000;2024;10.0;17.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
ID 70812431;https://ekb.cian.ru/sale/flat/292314241/;Екатеринбург;sale;flat;2;6;1;29.9;4500000;1965;17.0;5.0;+79826874225;Центр;Луначарского;;
Брусника;https://ekb.cian.ru/sale/flat/292955163/;Екатеринбург;sale;flat;9;17;2;60.0;6760000;2024;24.0;17.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292631413/;Екатеринбург;sale;flat;2;5;1;31.7;3200000;1963;22.0;-1;+79122631024;Орджоникидзевский;40-летия Октября;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292041229/;Екатеринбург;sale;flat;13;21;1;32.9;4764000;2025;11.0;11.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292514800/;Екатеринбург;sale;flat;1;9;2;74.1;7980000;2004;45.0;-1;+79122631024;Кировский;Блюхера;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/283649998/;Екатеринбург;sale;flat;1;15;2;55.0;6824000;2025;22.0;16.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292711542/;Екатеринбург;sale;flat;18;25;2;60.8;5960000;2013;31.0;-1;+79122631024;Орджоникидзевский;Старых Большевиков;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/283650050/;Екатеринбург;sale;flat;2;31;3;71.3;7680000;2025;36.0;14.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/291421984/;Екатеринбург;sale;flat;4;22;2;75.6;7380000;2014;34.0;-1;+79122631024;Орджоникидзевский;Совхозная;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/281295336/;Екатеринбург;sale;flat;7;25;2;65.3;8322000;2025;26.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293685701/;Екатеринбург;sale;flat;12;12;2;47.6;5150000;1975;35.0;-1;+79122631024;Ленинский;Чкалова;;
Экологика;https://ekb.cian.ru/sale/flat/289651623/;Екатеринбург;sale;flat;3;8;2;48.96;4244832;2024;21.0;14.0;+73432261790;;;;
ID 51009005;https://ekb.cian.ru/sale/flat/293210037/;Екатеринбург;sale;flat;4;5;2;41.0;4300000;1965;32.0;6.0;+79122414238;Кировский;Солнечная;Динамо;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292419942/;Екатеринбург;sale;flat;8;25;1;38.6;4442000;2026;13.0;11.0;+73432261729;;;Чкаловская;Старт ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292272733/;Екатеринбург;sale;flat;8;10;3;78.7;8850000;-1;45.0;-1;+79122631024;Автовокзал;Николая Островского;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292041047/;Екатеринбург;sale;flat;9;19;1;32.2;4712000;2025;10.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292659319/;Екатеринбург;sale;flat;6;16;2;47.6;3950000;1981;26.0;-1;+79122631024;Железнодорожный;Автомагистральная;;
Железно;https://ekb.cian.ru/sale/flat/291183921/;Екатеринбург;sale;flat;2;8;2;53.0;5815008;2025;26.0;9.0;+73432260872;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292751890/;Екатеринбург;sale;flat;5;10;1;34.4;4770000;1995;19.0;-1;+79122631024;Автовокзал;Сурикова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/279923376/;Екатеринбург;sale;flat;4;19;3;71.7;8237000;2025;40.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/292715659/;Екатеринбург;sale;flat;7;25;2;52.0;5300000;2015;29.0;7.0;+79122515743;Ленинский;Чкалова;;
Брусника;https://ekb.cian.ru/sale/flat/291269756/;Екатеринбург;sale;flat;9;9;1;32.18;4750000;2024;7.0;12.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
РиэлПроф;https://ekb.cian.ru/sale/flat/285327966/;Екатеринбург;sale;flat;6;18;1;42.0;3990000;2013;21.0;12.0;+79126920013;;;;
Брусника;https://ekb.cian.ru/sale/flat/291224789/;Екатеринбург;sale;flat;7;9;3;84.2;10960000;2024;32.0;20.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292631412/;Екатеринбург;sale;flat;16;16;2;47.0;5000000;1991;24.0;-1;+79122631024;Верх-Исетский;Металлургов;;
Брусника;https://ekb.cian.ru/sale/flat/282892373/;Екатеринбург;sale;flat;9;17;3;77.0;7900000;2024;32.0;20.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
ID 70812431;https://ekb.cian.ru/sale/flat/293282109/;Екатеринбург;sale;flat;4;9;3;58.2;6200000;1982;37.0;8.0;+79826874225;Октябрьский;Латвийская;;
Брусника;https://ekb.cian.ru/sale/flat/293532921/;Екатеринбург;sale;flat;2;17;-1;202.0;4800000;2024;10.0;17.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
ID 70812431;https://ekb.cian.ru/sale/flat/292314241/;Екатеринбург;sale;flat;2;6;1;29.9;4500000;1965;17.0;5.0;+79826874225;Центр;Луначарского;;
Брусника;https://ekb.cian.ru/sale/flat/292955163/;Екатеринбург;sale;flat;9;17;2;60.0;6760000;2024;24.0;17.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292631413/;Екатеринбург;sale;flat;2;5;1;31.7;3200000;1963;22.0;-1;+79122631024;Орджоникидзевский;40-летия Октября;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292041229/;Екатеринбург;sale;flat;13;21;1;32.9;4764000;2025;11.0;11.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292514800/;Екатеринбург;sale;flat;1;9;2;74.1;7980000;2004;45.0;-1;+79122631024;Кировский;Блюхера;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/283649998/;Екатеринбург;sale;flat;1;15;2;55.0;6824000;2025;22.0;16.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292711542/;Екатеринбург;sale;flat;18;25;2;60.8;5960000;2013;31.0;-1;+79122631024;Орджоникидзевский;Старых Большевиков;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/283650050/;Екатеринбург;sale;flat;2;31;3;71.3;7680000;2025;36.0;14.0;+73432261632;Верх-Исетский;;Площадь 1905 года;Русь-2 ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/291421984/;Екатеринбург;sale;flat;4;22;2;75.6;7380000;2014;34.0;-1;+79122631024;Орджоникидзевский;Совхозная;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/281295336/;Екатеринбург;sale;flat;7;25;2;65.3;8322000;2025;26.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/293685701/;Екатеринбург;sale;flat;12;12;2;47.6;5150000;1975;35.0;-1;+79122631024;Ленинский;Чкалова;;
Экологика;https://ekb.cian.ru/sale/flat/289651623/;Екатеринбург;sale;flat;3;8;2;48.96;4244832;2024;21.0;14.0;+73432261790;;;;
ID 51009005;https://ekb.cian.ru/sale/flat/293210037/;Екатеринбург;sale;flat;4;5;2;41.0;4300000;1965;32.0;6.0;+79122414238;Кировский;Солнечная;Динамо;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292419942/;Екатеринбург;sale;flat;8;25;1;38.6;4442000;2026;13.0;11.0;+73432261729;;;Чкаловская;Старт ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292272733/;Екатеринбург;sale;flat;8;10;3;78.7;8850000;2012;45.0;-1;+79122631024;Автовокзал;Николая Островского;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/292041047/;Екатеринбург;sale;flat;9;19;1;32.2;4712000;2025;10.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292659319/;Екатеринбург;sale;flat;6;16;2;47.6;3950000;1981;26.0;-1;+79122631024;Железнодорожный;Автомагистральная;;
Железно;https://ekb.cian.ru/sale/flat/291183921/;Екатеринбург;sale;flat;2;8;2;53.0;5815008;2025;26.0;9.0;+73432260872;;;Чкаловская;
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292751890/;Екатеринбург;sale;flat;5;10;1;34.4;4770000;1995;19.0;-1;+79122631024;Автовокзал;Сурикова;;
TEN девелопмент;https://ekb.cian.ru/sale/flat/279923376/;Екатеринбург;sale;flat;4;19;3;71.7;8237000;2025;40.0;10.0;+73432261765;Орджоникидзевский;;Машиностроителей;Основинские кварталы ЖК
Самолет Плюс Екатеринбург;https://ekb.cian.ru/sale/flat/292715659/;Екатеринбург;sale;flat;7;25;2;52.0;5300000;2015;29.0;7.0;+79122515743;Ленинский;Чкалова;;
Брусника;https://ekb.cian.ru/sale/flat/291269756/;Екатеринбург;sale;flat;9;9;1;32.18;4750000;2024;7.0;12.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
РиэлПроф;https://ekb.cian.ru/sale/flat/285327966/;Екатеринбург;sale;flat;6;18;1;42.0;3990000;2013;21.0;12.0;+79126920013;;;;
Брусника;https://ekb.cian.ru/sale/flat/291224789/;Екатеринбург;sale;flat;7;9;3;84.2;10960000;2024;32.0;20.0;+73432261644;;;Чкаловская;Брусника в Академическом ЖК
Обмен.рф - Брусника Обмен;https://ekb.cian.ru/sale/flat/292631412/;Екатеринбург;sale;flat;16;16;2;47.0;5000000;1991;24.0;-1;+79122631024;Верх-Исетский;Металлургов;;
Брусника;https://ekb.cian.ru/sale/flat/282892373/;Екатеринбург;sale;flat;9;17;3;77.0;7900000;2024;32.0;20.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
ID 70812431;https://ekb.cian.ru/sale/flat/293282109/;Екатеринбург;sale;flat;4;9;3;58.2;6200000;1982;37.0;8.0;+79826874225;Октябрьский;Латвийская;;
Брусника;https://ekb.cian.ru/sale/flat/293532921/;Екатеринбург;sale;flat;2;17;-1;202.0;4800000;2024;10.0;17.0;+73432261627;Железнодорожный;Сортировочный жилрайон;Уральская;Квартал Депо ЖК
